id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
39516335,Rental unit in Barcelona · ★4.86 · 4 bedrooms · 7 beds · 2 baths,301446770,Xavi & Luna The Family Host,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38976,2.18475,Entire home/apt,336,5,80,2023-05-28,1.92,9,124,39,HUTB-005224
39186119,Rental unit in Barcelona · 1 bedroom · 1 bed · 2 baths,146859530,Happy Houses Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.39343,2.13577,Entire home/apt,135,1,2,2022-01-30,0.05,5,110,0,Exempt
39186823,Rental unit in Barcelona · ★4.80 · Studio · 2 beds · 1 bath,265193861,Joaquim,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38514,2.18529,Entire home/apt,67,32,5,2023-02-02,0.16,129,246,2,
39791562,Rental unit in Barcelona · 8 bedrooms · 20 beds · 8 baths,1447144,Acomodis Apartments,Sants-Montjuïc,el Poble Sec,41.37369,2.16765,Entire home/apt,1314,1,1,2023-03-03,0.30,141,280,1,HUTB-002598
39187082,Rental unit in Barcelona · Studio · 2 beds · 1 bath,265193861,Joaquim,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38672,2.17743,Entire home/apt,67,32,2,2022-06-09,0.13,129,292,0,
39516925,Condo in Barcelona · ★3.33 · 2 bedrooms · 2 beds · 1 bath,5264883,Unique,Ciutat Vella,el Raval,41.37897,2.17067,Entire home/apt,56,91,3,2022-11-14,0.07,45,274,1,
39811448,Rental unit in Barcelona · 2 bedrooms · 4 beds · 1 bath,1447144,Acomodis Apartments,Ciutat Vella,el Barri Gòtic,41.38276,2.17898,Entire home/apt,243,1,2,2023-03-22,0.21,141,265,2,HUTB-002780
39519845,Rental unit in Barcelona · ★4.86 · 3 bedrooms · 6 beds · 2 baths,251710733,Magda,Eixample,Sant Antoni,41.375660185584735,2.1520325631142843,Entire home/apt,364,4,14,2023-05-06,1.00,4,176,10,HUTB-009312
39187363,Rental unit in Barcelona · ★4.77 · 1 bedroom · 1 bed · 1 private bath,898776,Naila,Sant Martí,la Vila Olímpica del Poblenou,41.3899,2.19538,Private room,60,2,31,2023-03-27,0.71,1,0,8,
39812377,Rental unit in Barcelona · 1 bedroom · 1 bed · 1 bath,43670970,Dian,Gràcia,Vallcarca i els Penitents,41.41636,2.14618,Private room,39,30,0,,,1,0,0,
